TCP,status,xml_path,txt_path,extracted_chars
A07897,ok,/Users/grace/Desktop/new meta/tcp_drama/A07897.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07897.txt,116652
A15814,ok,/Users/grace/Desktop/new meta/tcp_drama/A15814.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15814.txt,101114
A02284,ok,/Users/grace/Desktop/new meta/tcp_drama/A02284.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02284.txt,193833
A07063,ok,/Users/grace/Desktop/new meta/tcp_drama/A07063.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07063.txt,80577
A07064,ok,/Users/grace/Desktop/new meta/tcp_drama/A07064.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07064.txt,82682
B14290,ok,/Users/grace/Desktop/new meta/tcp_drama/B14290.xml,/Users/grace/Desktop/new meta/<l><p>extract/B14290.txt,139139
A11983,ok,/Users/grace/Desktop/new meta/tcp_drama/A11983.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11983.txt,57628
A11988,ok,/Users/grace/Desktop/new meta/tcp_drama/A11988.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11988.txt,112172
A07492,ok,/Users/grace/Desktop/new meta/tcp_drama/A07492.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07492.txt,89703
A11265,ok,/Users/grace/Desktop/new meta/tcp_drama/A11265.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11265.txt,69204
A11267,ok,/Users/grace/Desktop/new meta/tcp_drama/A11267.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11267.txt,72425
A19182,ok,/Users/grace/Desktop/new meta/tcp_drama/A19182.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19182.txt,53777
A19183,ok,/Users/grace/Desktop/new meta/tcp_drama/A19183.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19183.txt,110326
A06270,ok,/Users/grace/Desktop/new meta/tcp_drama/A06270.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06270.txt,67994
A20081,ok,/Users/grace/Desktop/new meta/tcp_drama/A20081.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20081.txt,122478
A11959,ok,/Users/grace/Desktop/new meta/tcp_drama/A11959.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11959.txt,85459
A20077,ok,/Users/grace/Desktop/new meta/tcp_drama/A20077.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20077.txt,105639
A09613,ok,/Users/grace/Desktop/new meta/tcp_drama/A09613.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09613.txt,47317
A20069,ok,/Users/grace/Desktop/new meta/tcp_drama/A20069.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20069.txt,76628
A07071,ok,/Users/grace/Desktop/new meta/tcp_drama/A07071.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07071.txt,83089
A07074,ok,/Users/grace/Desktop/new meta/tcp_drama/A07074.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07074.txt,110185
A20062,ok,/Users/grace/Desktop/new meta/tcp_drama/A20062.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20062.txt,124519
A07009,ok,/Users/grace/Desktop/new meta/tcp_drama/A07009.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07009.txt,62151
A19837,ok,/Users/grace/Desktop/new meta/tcp_drama/A19837.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19837.txt,9081
